CH1,CH1,CH1,,,,CL,CC,
RawData,BaseLine,Diff,,,,8,10,10240
3671,3667,4,,,,,,
3671,3667,4,,,,,,
3671,3667,4,,,,,,
3671,3667,4,,,,,,
3671,3667,4,,,,,,
3671,3667,4,,,,,,
3671,3667,4,,,,,,
3672,3667,5,,,,,,
3672,3667,5,,,,,,
3671,3667,4,,,,,,
3671,3667,4,,,,,,
3671,3667,4,,,,,,
3671,3667,4,,,,,,
3672,3667,5,,,,,,
3672,3667,5,,,,,,
3671,3667,4,,,,,,
3671,3667,4,,,,,,
3671,3667,4,,,,,,
3671,3667,4,,,,,,
3671,3667,4,,,,,,
3671,3667,4,,,,,,
3671,3667,4,,,,,,
3671,3667,4,,,,,,
3671,3667,4,,,,,,
3671,3667,4,,,,,,
3671,3667,4,,,,,,
3671,3667,4,,,,,,
3671,3667,4,,,,,,
3671,3667,4,,,,,,
3671,3667,4,,,,,,
3671,3667,4,,,,,,
3671,3667,4,,,,,,
3671,3667,4,,,,,,
3671,3667,4,,,,,,
3671,3667,4,,,,,,
3671,3668,3,,,,,,
3671,3668,3,,,,,,
3671,3668,3,,,,,,
3671,3668,3,,,,,,
3671,3668,3,,,,,,
3671,3668,3,,,,,,
3671,3668,3,,,,,,
3671,3668,3,,,,,,
3671,3668,3,,,,,,
3671,3668,3,,,,,,
3671,3668,3,,,,,,
3672,3668,4,,,,,,
3671,3668,3,,,,,,
3671,3668,3,,,,,,
3671,3668,3,,,,,,
3671,3668,3,,,,,,
3671,3668,3,,,,,,
3671,3668,3,,,,,,
3671,3668,3,,,,,,
3671,3668,3,,,,,,
3671,3668,3,,,,,,
3671,3668,3,,,,,,
3671,3668,3,,,,,,
3671,3668,3,,,,,,
3671,3668,3,,,,,,
3671,3668,3,,,,,,
3671,3668,3,,,,,,
3671,3668,3,,,,,,
3671,3668,3,,,,,,
3671,3668,3,,,,,,
3671,3668,3,,,,,,
3671,3668,3,,,,,,
3671,3668,3,,,,,,
3671,3668,3,,,,,,
3671,3668,3,,,,,,
3671,3668,3,,,,,,
3672,3668,4,,,,,,
3671,3668,3,,,,,,
3671,3668,3,,,,,,
3671,3668,3,,,,,,
3671,3668,3,,,,,,
3671,3668,3,,,,,,
3671,3668,3,,,,,,
3671,3668,3,,,,,,
3671,3668,3,,,,,,
3671,3668,3,,,,,,
3671,3668,3,,,,,,
3671,3668,3,,,,,,
3671,3668,3,,,,,,
3672,3668,4,,,,,,
3671,3668,3,,,,,,
3671,3669,2,,,,,,
3671,3669,2,,,,,,
3671,3669,2,,,,,,
3671,3669,2,,,,,,
3671,3669,2,,,,,,
3671,3669,2,,,,,,
3671,3669,2,,,,,,
3671,3669,2,,,,,,
3672,3669,3,,,,,,
3671,3669,2,,,,,,
3671,3669,2,,,,,,
3671,3669,2,,,,,,
3671,3669,2,,,,,,
3671,3669,2,,,,,,
3671,3669,2,,,,,,
3671,3669,2,,,,,,
3671,3669,2,,,,,,
3671,3669,2,,,,,,
3671,3669,2,,,,,,
3671,3669,2,,,,,,
3671,3669,2,,,,,,
3671,3669,2,,,,,,
3671,3669,2,,,,,,
3671,3669,2,,,,,,
3671,3669,2,,,,,,
3671,3669,2,,,,,,
3671,3669,2,,,,,,
3671,3669,2,,,,,,
3671,3669,2,,,,,,
3671,3669,2,,,,,,
3671,3669,2,,,,,,
3671,3669,2,,,,,,
3671,3669,2,,,,,,
3671,3669,2,,,,,,
3671,3669,2,,,,,,
3671,3669,2,,,,,,
3671,3669,2,,,,,,
3671,3669,2,,,,,,
3670,3669,1,,,,,,
3670,3669,1,,,,,,
3670,3669,1,,,,,,
3670,3669,1,,,,,,
3670,3669,1,,,,,,
3670,3669,1,,,,,,
3670,3669,1,,,,,,
3670,3669,1,,,,,,
3670,3669,1,,,,,,
3670,3669,1,,,,,,
3670,3669,1,,,,,,
3670,3669,1,,,,,,
3670,3669,1,,,,,,
3670,3669,1,,,,,,
3670,3669,1,,,,,,
3670,3669,1,,,,,,
3670,3669,1,,,,,,
3670,3669,1,,,,,,
3670,3669,1,,,,,,
3670,3669,1,,,,,,
3670,3669,1,,,,,,
3670,3669,1,,,,,,
3671,3669,2,,,,,,
3672,3669,3,,,,,,
3672,3669,3,,,,,,
3672,3669,3,,,,,,
3671,3669,2,,,,,,
3671,3669,2,,,,,,
3671,3669,2,,,,,,
3672,3669,3,,,,,,
3671,3669,2,,,,,,
3672,3669,3,,,,,,
3671,3669,2,,,,,,
3671,3669,2,,,,,,
3671,3669,2,,,,,,
3671,3669,2,,,,,,
3672,3669,3,,,,,,
3671,3669,2,,,,,,
3671,3669,2,,,,,,
3671,3669,2,,,,,,
3671,3669,2,,,,,,
3671,3669,2,,,,,,
3672,3669,3,,,,,,
3671,3669,2,,,,,,
3671,3669,2,,,,,,
3671,3669,2,,,,,,
3671,3670,1,,,,,,
3671,3670,1,,,,,,
3672,3670,2,,,,,,
3672,3670,2,,,,,,
3672,3670,2,,,,,,
3672,3670,2,,,,,,
3672,3670,2,,,,,,
3672,3670,2,,,,,,
3673,3670,3,,,,,,
3675,3670,5,,,,,,
3678,3670,8,,,,,,
3704,3670,34,,,,,,
3702,3670,32,,,,,,
3702,3670,32,,,,,,
3702,3670,32,,,,,,
3703,3670,33,,,,,,
3703,3670,33,,,,,,
3703,3670,33,,,,,,
3704,3670,34,,,,,,
3704,3670,34,,,,,,
3706,3670,36,,,,,,
3709,3670,39,,,,,,
3711,3670,41,,,,,,
3714,3670,44,,,,,,
3714,3670,44,,,,,,
3714,3670,44,,,,,,
3714,3670,44,,,,,,
3714,3670,44,,,,,,
3715,3670,45,,,,,,
